Car Model,Mileage,Sell Price($),Age(yrs)
Mercedez Benz C class,92830,10000,9
Audi A5,82843,10000,6
Audi A5,69525,11349,5
Audi A5,19275,26844,2
Audi A5,15484,40216,1
Mercedez Benz C class,56928,23928,6
Audi A5,25210,27577,3
BMW X5,29945,35889,2
Audi A5,174352,10000,10
Audi A5,65430,10000,7
BMW X5,53101,22529,5
Audi A5,90602,10000,6
Mercedez Benz C class,36947,27028,3
BMW X5,11157,40701,1
BMW X5,78843,10000,9
BMW X5,53426,17385,3
Mercedez Benz C class,69167,21272,4
Audi A5,75497,21159,5
Audi A5,49212,24628,4
BMW X5,54681,18128,4
Mercedez Benz C class,11579,44959,1
Audi A5,89642,10000,8
BMW X5,32416,33972,3
Mercedez Benz C class,153590,10000,10
BMW X5,99977,11421,8
Audi A5,18836,31508,2
BMW X5,112531,10000,7
Audi A5,10751,45064,1
Mercedez Benz C class,74893,13703,6
Mercedez Benz C class,36843,24509,4
Mercedez Benz C class,104542,10000,10
Mercedez Benz C class,50262,10000,5
Mercedez Benz C class,18362,30355,2
Audi A5,175104,10000,10
Mercedez Benz C class,22684,36762,2
Audi A5,88166,23873,6
Audi A5,41655,33917,3
BMW X5,13742,40298,1
BMW X5,128865,10000,9
Audi A5,76537,13103,9
Mercedez Benz C class,67221,10000,8
BMW X5,54332,11802,6
Audi A5,100758,14753,6
Audi A5,14438,37014,1
Audi A5,52157,22693,4
Mercedez Benz C class,11499,30998,1
Mercedez Benz C class,86043,10000,10
BMW X5,115638,10000,10
BMW X5,20104,33810,2
BMW X5,78990,10000,9
Mercedez Benz C class,107779,15791,6
Mercedez Benz C class,96197,10000,8
Mercedez Benz C class,86683,26189,5
Mercedez Benz C class,21591,30639,2
Audi A5,33081,35659,2
Mercedez Benz C class,64813,21712,6
Audi A5,97925,10000,6
Mercedez Benz C class,80441,10378,9
BMW X5,118940,10000,7
BMW X5,127015,10602,9
Audi A5,82081,10000,7
Audi A5,14922,34620,1
Mercedez Benz C class,75057,15613,6
BMW X5,54146,23407,5
BMW X5,105404,10000,9
Mercedez Benz C class,81783,22819,5
BMW X5,106537,10582,6
Mercedez Benz C class,68472,10153,6
Audi A5,111132,10000,8
Mercedez Benz C class,101176,10098,6
BMW X5,21935,31363,2
BMW X5,123945,10000,7
BMW X5,24500,29164,2
BMW X5,41472,20802,5
Audi A5,127166,10000,10
Audi A5,17254,41165,1
Mercedez Benz C class,165990,10000,10
Mercedez Benz C class,98838,10000,7
Audi A5,71872,24557,4
Audi A5,26948,25982,3
Audi A5,33618,20891,3
Audi A5,35172,27068,2
BMW X5,76401,12962,5
BMW X5,143508,10000,8
Audi A5,53154,19192,5
BMW X5,16926,31754,1
Mercedez Benz C class,57067,17558,6
Mercedez Benz C class,79032,10000,9
BMW X5,63858,18186,4
BMW X5,32895,34577,2
BMW X5,98433,10000,8
Audi A5,58970,31370,4
Mercedez Benz C class,121913,10000,9
Audi A5,17834,36191,1
BMW X5,80320,10000,9
Mercedez Benz C class,83844,10000,9
Audi A5,33888,24639,3
Audi A5,17301,42921,1
BMW X5,81778,10000,7
BMW X5,83762,12476,7
Mercedez Benz C class,80494,10000,10
BMW X5,87893,13495,5
BMW X5,34813,25575,4
BMW X5,48715,14729,4
Mercedez Benz C class,62269,10733,7
Audi A5,157334,10000,10
BMW X5,25127,26278,3
Audi A5,36461,30857,3
Audi A5,41999,29335,3
Mercedez Benz C class,62113,19334,4
Mercedez Benz C class,8607,38580,1
BMW X5,134580,10000,10
BMW X5,127873,10000,10
BMW X5,13113,35949,1
BMW X5,34323,20322,3
Mercedez Benz C class,102591,10000,8
Mercedez Benz C class,139600,10000,9
BMW X5,9617,36986,1
Audi A5,34681,16181,4
Mercedez Benz C class,99616,10000,8
BMW X5,39274,24717,3
BMW X5,16584,42216,1
BMW X5,34022,32737,2
Audi A5,72232,10000,6
Audi A5,66232,23142,4
Audi A5,88926,10000,9
Mercedez Benz C class,97731,10000,9
BMW X5,80371,10000,10
Mercedez Benz C class,28795,28007,3
Mercedez Benz C class,12965,32551,1
Mercedez Benz C class,23248,30430,2
Audi A5,87897,16344,6
Audi A5,91038,10000,7
BMW X5,26117,34677,2
Audi A5,52067,10000,6
Audi A5,56786,24093,4
Audi A5,33627,34582,2
BMW X5,80912,10000,7
BMW X5,13106,34456,1
BMW X5,8382,40723,1
Audi A5,93516,10000,10
BMW X5,93240,15063,8
Mercedez Benz C class,17457,40760,1
Audi A5,10741,38344,1
Mercedez Benz C class,93275,14931,6
Mercedez Benz C class,118958,10000,8
BMW X5,127257,10000,9
BMW X5,63550,10000,6
Audi A5,60372,12155,7
Audi A5,101137,10000,9
BMW X5,43622,31242,3
Audi A5,50697,18984,4
Audi A5,9101,38638,1
Mercedez Benz C class,62981,22341,5
Audi A5,74293,10785,6
BMW X5,30453,27638,2
Mercedez Benz C class,74321,10000,9
Audi A5,84797,10000,9
BMW X5,61876,15885,4
Mercedez Benz C class,56348,12384,6
Audi A5,26355,33642,2
BMW X5,101236,10000,8
BMW X5,70487,10000,6
Audi A5,30310,33437,2
BMW X5,126584,10000,10
Mercedez Benz C class,23841,32713,2
Audi A5,32827,35521,2
Audi A5,68887,12836,7
Mercedez Benz C class,34242,22262,3
BMW X5,129684,10000,9
BMW X5,145955,10000,9
BMW X5,73357,23233,5
BMW X5,79591,10000,8
Audi A5,8621,44932,1
Mercedez Benz C class,71792,10000,7
Audi A5,91078,10000,9
Mercedez Benz C class,66976,15193,7
Mercedez Benz C class,123547,10000,7
BMW X5,122779,10000,9
BMW X5,116081,10000,9
BMW X5,35244,26434,4
Audi A5,92828,10000,8
BMW X5,17475,44426,1
BMW X5,11944,36787,1
BMW X5,85449,10000,5
Mercedez Benz C class,39801,13063,4
Audi A5,73589,19832,5
Audi A5,66954,23276,4
Audi A5,51794,30886,4
Mercedez Benz C class,33789,35534,2
BMW X5,147514,10000,10
BMW X5,37729,28509,3
Audi A5,149768,10000,9
Audi A5,50099,19847,4
BMW X5,123842,10000,8
Audi A5,61297,13898,6
BMW X5,44723,22719,4
Mercedez Benz C class,40334,28777,3
BMW X5,34981,22788,3
BMW X5,141421,10000,8
BMW X5,98503,10582,6
BMW X5,50620,31647,3
Audi A5,34589,28545,2
BMW X5,89560,10000,10
Audi A5,92696,10000,10
BMW X5,34010,36647,2
Mercedez Benz C class,94460,12018,7
BMW X5,47139,21415,5
Mercedez Benz C class,81412,17155,7
BMW X5,51348,27003,4
Mercedez Benz C class,112423,10000,8
Mercedez Benz C class,91561,10000,8
Mercedez Benz C class,12238,41921,1
Mercedez Benz C class,53295,28449,4
BMW X5,26339,34930,3
Mercedez Benz C class,46828,32657,4
BMW X5,152470,10000,9
BMW X5,157296,10000,9
Audi A5,132348,10000,8
Audi A5,41362,25496,3
Mercedez Benz C class,35152,25796,3
Mercedez Benz C class,61648,12822,7
Mercedez Benz C class,28712,32299,3
BMW X5,71084,24814,5
BMW X5,68499,22237,6
BMW X5,132096,10000,8
Audi A5,89545,10000,9
Audi A5,89370,11306,5
Mercedez Benz C class,104201,14005,6
Mercedez Benz C class,80279,10000,7
Audi A5,33148,23819,4
BMW X5,45922,23915,3
Mercedez Benz C class,32352,29904,2
BMW X5,117643,10000,10
Audi A5,107743,10000,9
Audi A5,16905,33772,1
BMW X5,120553,14418,7
Audi A5,23685,36387,2
BMW X5,34315,20624,3
Audi A5,134138,10000,10
Audi A5,81181,16563,5
Audi A5,108346,10000,8
BMW X5,60347,10480,6
Audi A5,71456,19544,5
Audi A5,36247,19328,3
BMW X5,68120,13464,5
BMW X5,106711,10000,10
Audi A5,125941,10000,10
BMW X5,88145,21197,5
BMW X5,14214,41909,1
Audi A5,100619,10000,6
BMW X5,104466,10631,6
BMW X5,76442,26216,5
BMW X5,105891,17137,6
BMW X5,42954,18574,5
BMW X5,14636,34046,1
Mercedez Benz C class,12250,38082,1
Audi A5,66829,28241,4
BMW X5,69809,10000,8
Mercedez Benz C class,102615,10000,10
Mercedez Benz C class,96938,14542,6
Audi A5,60653,19330,5
Mercedez Benz C class,144752,10000,10
Audi A5,71820,20960,4
Mercedez Benz C class,99273,10000,8
Audi A5,97970,12763,6
BMW X5,48244,33050,3
Audi A5,110595,10441,7
BMW X5,50982,31702,3
Audi A5,71816,25013,5
Mercedez Benz C class,110074,10000,10
BMW X5,13082,40447,1
Audi A5,107945,10000,8
Mercedez Benz C class,69718,28845,4
Mercedez Benz C class,77205,10000,6
Audi A5,65144,20112,4
Audi A5,62045,20078,4
Mercedez Benz C class,90557,10000,10
Mercedez Benz C class,103793,10000,9
Audi A5,92065,10000,8
BMW X5,35573,26538,4
BMW X5,69753,18618,7
Audi A5,56791,17969,4
Mercedez Benz C class,98473,10000,8
Audi A5,118988,10000,8
Audi A5,101030,10634,9
BMW X5,88680,14271,6
BMW X5,32123,37189,2
Mercedez Benz C class,74757,10000,9
Audi A5,65895,27230,4
Audi A5,85783,14098,8
Mercedez Benz C class,45695,29083,3
Mercedez Benz C class,49748,29249,4
BMW X5,100954,10000,9
Mercedez Benz C class,14738,40315,1
Mercedez Benz C class,61836,22443,4
Mercedez Benz C class,99150,10000,7
Audi A5,65338,19388,6
Audi A5,174107,10000,10
Audi A5,106839,14956,6
Mercedez Benz C class,8931,31568,1
BMW X5,79830,18252,6
Audi A5,91262,10000,9
Audi A5,148827,10000,10
Mercedez Benz C class,14693,36892,1
BMW X5,148291,10000,9
BMW X5,165287,10000,10
BMW X5,66101,10000,6
BMW X5,105384,10000,10
Audi A5,52320,22957,6
BMW X5,9838,42133,1
BMW X5,9545,34405,1
BMW X5,108262,10000,7
BMW X5,139376,10000,9
Audi A5,38002,26077,4
Mercedez Benz C class,112746,10000,10
Mercedez Benz C class,125020,10000,9
Mercedez Benz C class,61286,22820,5
BMW X5,62896,15801,5
Audi A5,16163,36747,1
Audi A5,76988,17420,5
Mercedez Benz C class,39413,36559,3
Audi A5,16053,39682,1
BMW X5,154387,10000,10
Mercedez Benz C class,49995,23949,3
Mercedez Benz C class,33064,40211,2
Audi A5,157622,10000,9
Mercedez Benz C class,154621,10000,9
Audi A5,81504,10000,10
BMW X5,39975,21212,4
Mercedez Benz C class,83304,10811,5
BMW X5,98131,10000,9
Mercedez Benz C class,12106,34511,1
Audi A5,29946,28129,2
BMW X5,50184,28187,3
BMW X5,9158,40016,1
BMW X5,178428,10000,10
BMW X5,89688,10000,6
Audi A5,58192,18502,6
Audi A5,30713,34184,3
BMW X5,8939,44569,1
BMW X5,46601,22906,5
Audi A5,174911,10000,10
Audi A5,135340,10000,8
BMW X5,115276,10000,7
Mercedez Benz C class,102832,10000,7
Audi A5,77468,10000,8
Audi A5,145848,10000,9
Mercedez Benz C class,82902,23360,5
Audi A5,15556,42937,1
BMW X5,69314,14124,6
Audi A5,105779,10000,10
Audi A5,10658,42410,1
BMW X5,49665,10000,5
BMW X5,114641,10000,7
Audi A5,35689,35072,2
Mercedez Benz C class,141929,10000,9
BMW X5,35332,19724,3
Audi A5,14152,37242,1
Mercedez Benz C class,63370,23121,4
Audi A5,123759,11506,7
BMW X5,97327,10000,8
BMW X5,90373,10000,7
BMW X5,58909,24486,4
Audi A5,8139,31496,1
Mercedez Benz C class,15782,43580,1
BMW X5,9185,36513,1
Mercedez Benz C class,15185,41196,1
Audi A5,43792,21516,4
BMW X5,8551,36125,1
BMW X5,51867,15368,4
BMW X5,62315,24404,4
Audi A5,85870,10000,8
Mercedez Benz C class,165480,10000,10
BMW X5,86873,15049,7
Audi A5,92859,10000,8
Mercedez Benz C class,71578,11031,8
Mercedez Benz C class,47073,26631,3
BMW X5,16243,27300,2
Audi A5,101662,10781,6
BMW X5,103987,11146,7
Mercedez Benz C class,84420,10000,6
Mercedez Benz C class,41721,23225,4
Mercedez Benz C class,122883,12350,8
Mercedez Benz C class,45787,10000,5
BMW X5,51875,19506,6
Mercedez Benz C class,69530,27678,4
Audi A5,81304,10000,6
BMW X5,157813,10000,10
Audi A5,11779,37566,1
Audi A5,103327,10000,9
Mercedez Benz C class,30987,39350,2
Mercedez Benz C class,15168,32970,1
Mercedez Benz C class,102127,16100,6
Mercedez Benz C class,179821,10000,10
Audi A5,70417,23949,5
BMW X5,110567,10000,9
Mercedez Benz C class,134087,10000,9
Audi A5,87039,10000,9
BMW X5,50797,26804,4
Audi A5,109071,10000,9
BMW X5,57666,31926,4
BMW X5,124545,14692,9
Mercedez Benz C class,23355,24684,2
BMW X5,29936,31585,3
BMW X5,92038,10000,8
BMW X5,19101,26450,2
BMW X5,163240,10000,10
Audi A5,24285,37548,2
BMW X5,105747,10000,8
Mercedez Benz C class,46077,25472,4
BMW X5,13696,43148,1
Audi A5,121864,10000,9
Mercedez Benz C class,141815,10000,10
BMW X5,41102,28801,4
BMW X5,20232,24442,2
Audi A5,121171,10000,9
Audi A5,111134,10000,7
BMW X5,39397,21091,4
Mercedez Benz C class,112327,10000,10
Audi A5,51472,15697,5
Audi A5,124225,10299,9
Mercedez Benz C class,112577,11405,7
Mercedez Benz C class,97818,10000,10
BMW X5,35266,39323,2
Audi A5,74115,10000,8
Mercedez Benz C class,101843,10000,9
BMW X5,42502,24466,3
Mercedez Benz C class,56792,10000,7
Audi A5,87542,26314,5
Mercedez Benz C class,55855,12341,4
Audi A5,129000,10000,8
BMW X5,74462,14834,5
BMW X5,85195,19143,6
Audi A5,26915,28208,2
BMW X5,105555,10000,8
Mercedez Benz C class,113640,10000,10
Audi A5,15139,31262,1
Audi A5,65630,29773,4
Mercedez Benz C class,89485,10000,9
Mercedez Benz C class,41830,26851,4
BMW X5,152649,10000,10
BMW X5,159290,10000,9
Mercedez Benz C class,133960,10000,9
Audi A5,28124,26042,3
Audi A5,18559,38952,2
Audi A5,26604,29074,3
Mercedez Benz C class,64189,19305,6
BMW X5,101249,10000,8
Audi A5,133097,10000,9
Mercedez Benz C class,103914,16444,7
Mercedez Benz C class,104490,10004,7
Audi A5,51920,11897,6
Audi A5,128216,10000,8
BMW X5,89151,10000,10
Audi A5,57198,17588,5
BMW X5,84756,12457,6
Audi A5,114078,10000,8
Audi A5,28877,28294,2
Mercedez Benz C class,81794,25102,6
Mercedez Benz C class,50888,12492,5
Audi A5,69846,25089,6
Audi A5,48649,26012,4
BMW X5,93874,10000,8
Mercedez Benz C class,90326,10000,8
Audi A5,48718,21519,4
Audi A5,51761,17371,4
Mercedez Benz C class,76776,10000,8
Audi A5,109791,10000,9
BMW X5,33288,32541,2
Mercedez Benz C class,20156,38994,2
BMW X5,118730,10000,10
Mercedez Benz C class,142541,10000,9
BMW X5,51857,16808,5
Mercedez Benz C class,140065,10000,8
BMW X5,65802,14941,5
BMW X5,35819,34572,3
BMW X5,94571,10000,10
Audi A5,44746,32806,3
Mercedez Benz C class,26892,26520,2
Audi A5,16115,41367,1
Mercedez Benz C class,76527,17597,5
BMW X5,150626,10000,9
Audi A5,108869,10000,8
BMW X5,47687,33614,4
Audi A5,16825,41850,1
BMW X5,47803,22386,4
Audi A5,42391,20584,4
Audi A5,44086,22045,3
BMW X5,138118,10000,8
Mercedez Benz C class,9649,42110,1
BMW X5,31661,37623,2
Audi A5,41437,26949,5
Mercedez Benz C class,95630,10000,9
BMW X5,84926,10000,6
BMW X5,78767,20486,5
BMW X5,30809,31670,2
Mercedez Benz C class,33445,35785,2
BMW X5,10245,41021,1
Audi A5,11899,44455,1
BMW X5,141587,10000,10
Audi A5,144061,10000,9
Mercedez Benz C class,25293,20274,3
Audi A5,118148,10000,8
Audi A5,27295,32531,2
Audi A5,63574,25406,5
BMW X5,144791,10000,10
Audi A5,38277,23585,3
Audi A5,45825,16508,5
BMW X5,78489,20044,6
Mercedez Benz C class,89367,21458,5
BMW X5,80122,10000,10
Audi A5,143200,10632,9
Audi A5,20279,37664,2
Audi A5,10637,42005,1
Audi A5,16369,37468,1
BMW X5,88659,12149,5
BMW X5,139510,10000,9
Audi A5,60167,22618,4
Mercedez Benz C class,82570,10000,7
Audi A5,117741,10000,8
BMW X5,60546,10000,7
Audi A5,113161,10000,10
Mercedez Benz C class,51554,23912,4
BMW X5,53046,15522,6
Audi A5,15852,40556,1
BMW X5,70690,26175,4
BMW X5,72674,18749,5
Audi A5,29806,30913,3
Audi A5,8468,41128,1
BMW X5,164497,10000,10
Mercedez Benz C class,38144,27602,4
Mercedez Benz C class,123164,10000,8
BMW X5,10543,39909,1
Audi A5,55647,18507,4
BMW X5,162828,10000,10
Mercedez Benz C class,106534,20976,6
Mercedez Benz C class,118155,10000,8
BMW X5,73932,13180,5
BMW X5,21402,30991,2
Audi A5,33585,31364,4
Audi A5,15450,33298,1
Mercedez Benz C class,150571,10000,9
Audi A5,16486,34674,1
Audi A5,128875,10000,10
Mercedez Benz C class,14564,43907,1
BMW X5,34004,25544,3
Audi A5,33985,19503,3
BMW X5,132525,10000,8
Audi A5,59909,20613,5
Mercedez Benz C class,85843,10000,6
Audi A5,19664,37068,2
Mercedez Benz C class,129061,10000,8
BMW X5,88709,10000,5
Audi A5,61482,13889,4
Audi A5,84087,10000,7
Mercedez Benz C class,71544,11279,5
Audi A5,120607,14560,8
Audi A5,19097,38846,2
Mercedez Benz C class,78254,12770,7
Audi A5,52579,14787,5
BMW X5,16517,35922,1
BMW X5,16505,42344,1
BMW X5,95700,11166,6
BMW X5,58516,18635,5
BMW X5,75770,15070,7
Audi A5,148242,10000,9
BMW X5,73790,10000,9
Mercedez Benz C class,111367,10000,8
BMW X5,51167,16200,6
Mercedez Benz C class,103074,10000,7
Mercedez Benz C class,102801,10000,8
Audi A5,68824,14510,8
Audi A5,71053,18731,5
Mercedez Benz C class,89219,10000,10
Mercedez Benz C class,44106,26467,3
Mercedez Benz C class,11672,33899,1
Mercedez Benz C class,33678,34603,2
BMW X5,91326,10000,10
Mercedez Benz C class,65331,10000,7
Audi A5,52570,18960,5
BMW X5,61769,12863,7
BMW X5,71746,25551,4
BMW X5,65699,24571,5
Audi A5,135734,10000,8
BMW X5,9714,35013,1
BMW X5,78944,19671,5
Audi A5,91824,11366,6
Audi A5,11597,35587,1
Audi A5,35886,31549,2
Audi A5,30564,27301,2
Mercedez Benz C class,62080,19204,6
Mercedez Benz C class,33443,32619,4
Mercedez Benz C class,58024,24880,4
Audi A5,25429,28440,3
Mercedez Benz C class,103031,10000,9
Mercedez Benz C class,27883,41204,2
Mercedez Benz C class,74913,24144,6
Mercedez Benz C class,142455,10000,8
Mercedez Benz C class,30665,33005,3
Mercedez Benz C class,49546,26417,5
BMW X5,177059,10000,10
BMW X5,92801,10000,8
Mercedez Benz C class,101722,10000,7
Mercedez Benz C class,73630,10000,8
BMW X5,47897,27314,3
BMW X5,76026,10000,9
BMW X5,101131,10000,9
BMW X5,59125,14818,6
Audi A5,67649,14739,7
BMW X5,98213,13478,7
Mercedez Benz C class,60315,22269,7
Audi A5,159000,10000,10
Mercedez Benz C class,135942,10000,8
Audi A5,10575,35722,1
Audi A5,126566,10000,10
Mercedez Benz C class,54979,11845,6
Audi A5,117477,10000,8
Audi A5,31737,32369,2
BMW X5,56619,19598,6
Audi A5,14484,41172,1
BMW X5,49251,13475,6
Mercedez Benz C class,94348,15784,6
Mercedez Benz C class,89824,10000,9
Mercedez Benz C class,42229,19557,3
Audi A5,8254,38090,1
Audi A5,97846,10000,8
Mercedez Benz C class,118661,10000,7
Mercedez Benz C class,28442,31769,2
Audi A5,38699,36266,3
Mercedez Benz C class,142866,10000,10
Mercedez Benz C class,81767,10000,9
Audi A5,85034,11006,5
Audi A5,67056,10000,6
Audi A5,43697,29565,3
Mercedez Benz C class,95254,19628,6
Mercedez Benz C class,45603,19769,4
Mercedez Benz C class,10505,40819,1
BMW X5,41807,31893,4
Mercedez Benz C class,10840,36803,1
BMW X5,83509,10000,10
Audi A5,16466,32698,2
Audi A5,106299,10000,7
Mercedez Benz C class,50026,28433,5
BMW X5,34341,32190,2
BMW X5,10355,35382,1
BMW X5,16653,32990,1
BMW X5,63206,29205,4
BMW X5,77852,10000,7
Audi A5,88366,17409,6
Mercedez Benz C class,70405,10000,8
Mercedez Benz C class,113702,10000,8
BMW X5,93941,10000,9
Audi A5,11899,44643,1
BMW X5,88875,10000,10
Audi A5,28378,30600,3
Audi A5,102270,10000,10
BMW X5,78553,10000,9
Mercedez Benz C class,51392,13315,4
BMW X5,81732,10000,9
Mercedez Benz C class,55630,27804,4
Audi A5,50821,30128,3
Audi A5,105202,15218,7
Audi A5,22123,25246,2
Mercedez Benz C class,31478,35718,2
BMW X5,56196,16185,7
Audi A5,77115,11682,7
Mercedez Benz C class,40415,18592,5
Mercedez Benz C class,17342,31027,2
Audi A5,88746,10000,8
BMW X5,77731,10000,7
Audi A5,12987,36228,1
Audi A5,31422,24310,3
BMW X5,46521,35302,3
Mercedez Benz C class,59586,21036,7
Mercedez Benz C class,28725,32230,2
BMW X5,160136,10000,10
Audi A5,75640,10000,9
BMW X5,34825,24871,3
BMW X5,88281,10000,8
Audi A5,77708,15926,7
Mercedez Benz C class,126194,10000,10
BMW X5,18210,28187,2
Audi A5,37653,18528,4
Audi A5,76346,10000,7
Audi A5,14333,37398,1
Mercedez Benz C class,106209,10000,9
Audi A5,45075,17548,4
Mercedez Benz C class,74828,10000,6
BMW X5,39006,35042,3
Audi A5,21699,29387,2
Audi A5,46241,28324,4
Audi A5,76310,12519,8
Audi A5,110546,10000,9
Audi A5,135020,10000,10
Mercedez Benz C class,17054,31427,2
BMW X5,69395,22250,5
Mercedez Benz C class,70455,10000,8
Mercedez Benz C class,77172,14093,6
Mercedez Benz C class,19940,38909,2
BMW X5,14722,40748,1
Audi A5,120760,10000,8
BMW X5,69260,14296,7
BMW X5,126266,10000,8
BMW X5,49187,12465,5
Mercedez Benz C class,39965,37993,3
